Year,Month,Country/Region,Average
2020,1,Afghanistan,0.0
2020,2,Afghanistan,0.1724137931034483
2020,3,Afghanistan,5.193548387096774
2020,4,Afghanistan,55.36666666666667
2020,5,Afghanistan,430.741935483871
2020,6,Afghanistan,542.1666666666666
2020,7,Afghanistan,167.19354838709677
2020,8,Afghanistan,52.25806451612903
2020,9,Afghanistan,36.86666666666667
2020,10,Afghanistan,63.87096774193548
2020,11,Afghanistan,162.7
2020,12,Afghanistan,197.25806451612902
2021,1,Afghanistan,86.87096774193549
2021,2,Afghanistan,24.678571428571427
2021,3,Afghanistan,23.870967741935484
2021,4,Afghanistan,109.7
2021,5,Afghanistan,390.0967741935484
2021,6,Afghanistan,1560.7
2021,7,Afghanistan,919.1935483870968
2021,8,Afghanistan,195.67741935483872
2021,9,Afghanistan,65.13333333333334
2021,10,Afghanistan,34.70967741935484
2021,11,Afghanistan,34.63333333333333
2021,12,Afghanistan,25.64516129032258
2022,1,Afghanistan,156.19354838709677
2022,2,Afghanistan,383.32142857142856
2022,3,Afghanistan,131.8709677419355
2022,4,Afghanistan,37.733333333333334
2022,5,Afghanistan,47.354838709677416
2022,6,Afghanistan,72.7
2022,7,Afghanistan,103.90322580645162
2022,8,Afghanistan,241.96774193548387
2022,9,Afghanistan,197.93333333333334
2022,10,Afghanistan,125.0
2022,11,Afghanistan,94.8
2022,12,Afghanistan,53.29032258064516
2023,1,Afghanistan,31.806451612903224
2023,2,Afghanistan,27.75
2023,3,Afghanistan,14.333333333333334
2020,1,Albania,0.0
2020,2,Albania,0.0
2020,3,Albania,7.838709677419355
2020,4,Albania,17.666666666666668
2020,5,Albania,11.741935483870968
2020,6,Albania,46.6
2020,7,Albania,88.41935483870968
2020,8,Albania,136.67741935483872
2020,9,Albania,137.86666666666667
2020,10,Albania,233.09677419354838
2020,11,Albania,576.9
2020,12,Albania,649.483870967742
2021,1,Albania,639.0645161290323
2021,2,Albania,1037.142857142857
2021,3,Albania,580.3225806451613
2021,4,Albania,197.6
2021,5,Albania,39.67741935483871
2021,6,Albania,6.866666666666666
2021,7,Albania,18.06451612903226
2021,8,Albania,429.2258064516129
2021,9,Albania,791.4666666666667
2021,10,Albania,489.3225806451613
2021,11,Albania,488.1666666666667
2021,12,Albania,331.5806451612903
2022,1,Albania,1558.6774193548388
2022,2,Albania,465.0
2022,3,Albania,68.19354838709677
2022,4,Albania,47.666666666666664
2022,5,Albania,32.064516129032256
2022,6,Albania,158.33333333333334
2022,7,Albania,1007.9354838709677
2022,8,Albania,556.6129032258065
2022,9,Albania,95.63333333333334
2022,10,Albania,24.032258064516128
2022,11,Albania,12.566666666666666
2022,12,Albania,14.935483870967742
2023,1,Albania,11.64516129032258
2023,2,Albania,8.0
2023,3,Albania,7.333333333333333
2020,1,Algeria,0.0
2020,2,Algeria,0.034482758620689655
2020,3,Algeria,23.06451612903226
2020,4,Algeria,109.66666666666667
2020,5,Algeria,173.80645161290323
2020,6,Algeria,150.43333333333334
2020,7,Algeria,531.8387096774194
2020,8,Algeria,454.83870967741933
2020,9,Algeria,234.53333333333333
2020,10,Algeria,206.83870967741936
2020,11,Algeria,841.9
2020,12,Algeria,529.3870967741935
2021,1,Algeria,249.32258064516128
2021,2,Algeria,205.46428571428572
2021,3,Algeria,132.25806451612902
2021,4,Algeria,163.86666666666667
