Continent,Week,mean,std,min,max
Africa,26/01/2020 - 01/02/2020,0.0,0.0,0,0
Africa,02/02/2020 - 08/02/2020,0.0,0.0,0,0
Africa,09/02/2020 - 15/02/2020,0.0,0.0,0,0
Africa,16/02/2020 - 22/02/2020,0.0,0.0,0,0
Africa,23/02/2020 - 29/02/2020,0.0,0.0,0,0
Africa,01/03/2020 - 07/03/2020,0.0,0.0,0,0
Africa,08/03/2020 - 14/03/2020,0.05714285714285714,0.23550410797680277,0,1
Africa,15/03/2020 - 21/03/2020,0.6571428571428571,1.7310801990266609,0,9
Africa,22/03/2020 - 28/03/2020,3.742857142857143,5.590658475070173,0,19
Africa,29/03/2020 - 04/04/2020,12.8,15.788677998527188,0,59
Africa,05/04/2020 - 11/04/2020,15.0,18.84612614274444,0,82
Africa,12/04/2020 - 18/04/2020,8.942857142857143,11.235298517311822,0,41
Africa,19/04/2020 - 25/04/2020,6.142857142857143,11.540575113467257,0,42
Africa,26/04/2020 - 02/05/2020,2.657142857142857,5.296740713389126,0,25
Africa,03/05/2020 - 09/05/2020,2.142857142857143,4.583492485141056,-6,18
Africa,10/05/2020 - 16/05/2020,0.9714285714285714,1.688816402198929,-1,5
Africa,17/05/2020 - 23/05/2020,0.6285714285714286,1.1137037911643208,0,5
Africa,24/05/2020 - 30/05/2020,1.2857142857142858,1.7247579296719835,0,6
Africa,31/05/2020 - 06/06/2020,4.857142857142857,13.597454037521915,0,76
Africa,07/06/2020 - 13/06/2020,3.7142857142857144,7.102490982131585,0,28
Africa,14/06/2020 - 20/06/2020,4.142857142857143,6.950001511395761,0,27
Africa,21/06/2020 - 27/06/2020,5.914285714285715,11.30947397895553,-1,62
Africa,28/06/2020 - 04/07/2020,3.2,5.6035702904487605,0,23
Africa,05/07/2020 - 11/07/2020,10.82857142857143,20.72861862865205,0,83
Africa,12/07/2020 - 18/07/2020,14.657142857142857,24.310422428568828,0,98
Africa,19/07/2020 - 25/07/2020,25.6,53.679440691396714,0,273
Africa,26/07/2020 - 01/08/2020,33.51428571428571,55.86663290613555,0,214
Africa,02/08/2020 - 08/08/2020,47.02857142857143,100.76807551013766,0,490
Africa,09/08/2020 - 15/08/2020,25.257142857142856,46.496896074230754,0,154
Africa,16/08/2020 - 22/08/2020,45.77142857142857,56.51500878958965,0,262
Africa,23/08/2020 - 29/08/2020,52.22857142857143,58.493883900639666,0,265
Africa,30/08/2020 - 05/09/2020,59.97142857142857,62.95632739974486,0,254
Africa,06/09/2020 - 12/09/2020,78.51428571428572,85.70310291196868,0,278
Africa,13/09/2020 - 19/09/2020,89.17142857142858,135.1651464199358,0,465
Africa,20/09/2020 - 26/09/2020,141.82857142857142,315.14884305247085,0,1622
Africa,27/09/2020 - 03/10/2020,181.6,407.9469544524861,0,1722
Africa,04/10/2020 - 10/10/2020,198.68571428571428,430.8466201376466,0,1308
Africa,11/10/2020 - 17/10/2020,309.1142857142857,912.1901817774034,0,4360
Africa,18/10/2020 - 24/10/2020,298.34285714285716,1043.2530555024157,0,5752
Africa,25/10/2020 - 31/10/2020,270.51428571428573,589.2498906350729,0,2185
