Location,Month,MonthlyCases,MonthlySlope,MeanSlope
Argentina,2020-01,0,0.0,19459.634615384617
Austria,2020-01,0,0.0,7888.694082840237
Bangladesh,2020-01,0,0.0,4491.330867850099
Belgium,2020-01,0,0.0,7980.535305719923
Brazil,2020-01,0,0.0,73173.49684418144
Chile,2020-01,0,0.0,8254.774358974359
Colombia,2020-01,0,0.0,14433.826923076924
Czechia,2020-01,0,0.0,8471.885996055227
Denmark,2020-01,0,0.0,5091.294378698225
France,2020-01,5,0.0,55232.15719921105
Georgia,2020-01,0,0.0,3135.4607495069035
Germany,2020-01,5,0.0,49017.373865877715
Greece,2020-01,0,0.0,7036.486094674554
Hungary,2020-01,0,0.0,3974.0292899408287
India,2020-01,1,0.0,99855.6201183432
Indonesia,2020-01,0,0.0,12783.858579881655
Iran,2020-01,0,0.0,15860.356607495067
Iraq,2020-01,0,0.0,5514.051676528598
Ireland,2020-01,0,0.0,2801.6844181459555
Israel,2020-01,0,0.0,7799.16311637081
Italy,2020-01,2,0.0,35780.762919132154
Japan,2020-01,13,0.0,27848.70256410256
Jordan,2020-01,0,0.0,3424.101972386587
Kazakhstan,2020-01,0,0.0,2986.036785009862
"Korea, South",2020-01,10,0.0,31122.75996055227
Malaysia,2020-01,8,0.0,8304.36469428008
Mexico,2020-01,0,0.0,13690.708481262327
Netherlands,2020-01,0,0.0,14169.667751479292
New South Wales,2020-01,4,0.0,4470.288362919132
Pakistan,2020-01,0,0.0,3691.2786982248517
Peru,2020-01,0,0.0,8656.709960552265
Philippines,2020-01,1,0.0,7891.337179487178
Poland,2020-01,0,0.0,12598.207692307695
Portugal,2020-01,0,0.0,8483.644871794872
Romania,2020-01,0,0.0,6115.0235700197245
Russia,2020-01,2,0.0,36967.96114398423
Serbia,2020-01,0,0.0,4290.7644970414185
Slovakia,2020-01,0,0.0,4713.567061143984
South Africa,2020-01,0,0.0,8959.874556213017
Spain,2020-01,0,0.0,24604.73234714004
Sweden,2020-01,0,0.0,5093.508185404339
Switzerland,2020-01,0,0.0,6739.845759368836
Taiwan*,2020-01,9,0.0,7575.245167652862
Thailand,2020-01,15,0.0,7362.509861932941
Turkey,2020-01,0,0.0,30693.57544378698
US,2020-01,7,0.0,187040.68047337275
Ukraine,2020-01,0,0.0,11039.08934911242
United Kingdom,2020-01,2,0.0,41983.094871794885
Victoria,2020-01,3,0.0,3348.961439842209
Vietnam,2020-01,2,0.0,15338.120414201185
Argentina,2020-02,0,0.0,19459.634615384617
Austria,2020-02,3,3.0,7888.694082840237
Bangladesh,2020-02,0,0.0,4491.330867850099
Belgium,2020-02,1,1.0,7980.535305719923
Brazil,2020-02,2,2.0,73173.49684418144
Chile,2020-02,2,2.0,8254.774358974359
Colombia,2020-02,0,0.0,14433.826923076924
Czechia,2020-02,0,0.0,8471.885996055227
Denmark,2020-02,3,3.0,5091.294378698225
France,2020-02,95,90.0,55232.15719921105
Georgia,2020-02,1,1.0,3135.4607495069035
Germany,2020-02,61,56.0,49017.373865877715
Greece,2020-02,4,4.0,7036.486094674554
